City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,48.2,61,0,16.11,CL,1/30/2021
1,Hobart,-42.8794,147.3294,77,53,75,13.8,AU,1/30/2021
2,Kālol,22.6,73.45,59,82,0,4.61,IN,1/30/2021
3,Asău,46.4333,26.4,34,74,100,1.32,RO,1/30/2021
4,Faanui,-16.4833,-151.75,81.64,64,3,4.07,PF,1/30/2021
5,Hilo,19.7297,-155.09,78.8,57,75,11.5,US,1/30/2021
6,Saint-Philippe,-21.3585,55.7679,78.8,65,0,6.91,RE,1/30/2021
7,Praia da Vitória,38.7333,-27.0667,57.99,94,75,15.77,PT,1/30/2021
8,Busselton,-33.65,115.3333,64,73,100,7,AU,1/30/2021
9,Nikolskoye,59.7035,30.7861,10,78,75,11.18,RU,1/30/2021
10,Namatanai,-3.6667,152.4333,82.83,70,96,4.79,PG,1/30/2021
11,Pangnirtung,66.1451,-65.7125,24.3,92,100,4.9,CA,1/30/2021
12,Pevek,69.7008,170.3133,-17.07,86,2,0.83,RU,1/30/2021
13,Jamestown,42.097,-79.2353,23,68,90,17.27,US,1/30/2021
14,Karla,59.3723,24.9275,12,79,75,9.22,EE,1/30/2021
15,Atuona,-9.8,-139.0333,79.45,81,40,17.83,PF,1/30/2021
16,Ushuaia,-54.8,-68.3,46.4,76,75,26.46,AR,1/30/2021
17,Makakilo City,21.3469,-158.0858,77,50,1,17.27,US,1/30/2021
18,Rikitea,-23.1203,-134.9692,78.76,70,11,12.75,PF,1/30/2021
19,Geraldton,-28.7667,114.6,64.4,77,90,23.02,AU,1/30/2021
20,Castro,-24.7911,-50.0119,60.55,58,0,3.33,BR,1/30/2021
21,Avarua,-21.2078,-159.775,86,70,20,12.66,CK,1/30/2021
22,Bagotville,-28.9833,153.4167,80.6,61,9,5.75,AU,1/30/2021
23,Aleysk,52.4926,82.7822,25.14,98,88,9.75,RU,1/30/2021
24,Gamba,-2.65,10,78.44,87,100,5.1,GA,1/30/2021
25,Khani,41.9563,42.9566,46.4,87,75,6.91,GE,1/30/2021
26,Hasaki,35.7333,140.8333,50,61,20,3.44,JP,1/30/2021
27,Albany,42.6001,-73.9662,37,70,9,5.97,US,1/30/2021
28,Tuktoyaktuk,69.4541,-133.0374,-31,75,75,10.36,CA,1/30/2021
29,Donskoye,45.4552,41.9741,26.6,86,0,22.37,RU,1/30/2021
30,Imbituba,-28.24,-48.6703,73.4,68,75,14.97,BR,1/30/2021
31,Syracuse,37.0881,15.2792,61,81,0,8.05,IT,1/30/2021
32,Puerto Ayora,-0.7393,-90.3518,77,94,77,7,EC,1/30/2021
33,Hithadhoo,-0.6,73.0833,81.79,80,100,15.14,MV,1/30/2021
34,Valparaíso,-33.0393,-71.6273,60.8,88,75,5.75,CL,1/30/2021
35,College,64.8569,-147.8028,-2.2,71,75,3.44,US,1/30/2021
36,Osmeña,10.5208,119.9258,80.87,81,100,17.63,PH,1/30/2021
37,Plettenberg Bay,-34.0527,23.3716,67.46,90,0,5.14,ZA,1/30/2021
38,San Miguel de Cozumel,20.5083,-86.9458,75.2,83,20,5.75,MX,1/30/2021
39,East London,-33.0153,27.9116,73.63,89,97,10.13,ZA,1/30/2021
40,Guerrero Negro,27.9769,-114.0611,62.2,58,0,17.63,MX,1/30/2021
41,Vila Velha,-20.3297,-40.2925,82.4,74,75,10.36,BR,1/30/2021
42,Arraial do Cabo,-22.9661,-42.0278,75.54,94,100,9.42,BR,1/30/2021
43,Fortuna,40.5982,-124.1573,51.01,93,90,12.66,US,1/30/2021
44,Nariño,5.6089,-75.1766,60.8,82,40,3.44,CO,1/30/2021
45,Yellowknife,62.456,-114.3525,-31,68,90,10.36,CA,1/30/2021
46,Ribeira Grande,38.5167,-28.7,59.2,84,100,12.73,PT,1/30/2021
47,Samarai,-10.6167,150.6667,85.1,70,0,6.73,PG,1/30/2021
48,Cidreira,-30.1811,-50.2056,67.32,73,0,14.18,BR,1/30/2021
49,Ortigueira,-24.2083,-50.9494,61.77,89,0,2.19,BR,1/30/2021
50,Bambous Virieux,-20.3428,57.7575,77,88,75,6.91,MU,1/30/2021
51,Neiafu,-18.65,-173.9833,80.6,89,75,10.36,TO,1/30/2021
52,Ponta do Sol,32.6667,-17.1,51.01,69,52,3,PT,1/30/2021
53,Maués,-3.3836,-57.7186,80.1,69,94,2.28,BR,1/30/2021
54,Atar,20.5169,-13.0499,58.95,55,99,11.72,MR,1/30/2021
55,Mataura,-46.1927,168.8643,75.88,48,38,3.47,NZ,1/30/2021
56,Codrington,-38.2667,141.9667,65.3,64,0,16.62,AU,1/30/2021
57,Honningsvåg,70.9821,25.9704,29.07,88,100,22.93,NO,1/30/2021
58,Kutum,14.2,24.6667,46.94,51,99,9.71,SD,1/30/2021
59,Kapaa,22.0752,-159.319,71.6,56,1,5.75,US,1/30/2021
60,Chokurdakh,70.6333,147.9167,-19.62,86,0,11.65,RU,1/30/2021
61,Oranjemund,-28.55,16.4333,61.75,92,7,8.37,NA,1/30/2021
62,Bathsheba,13.2167,-59.5167,78.8,57,20,18.41,BB,1/30/2021
63,Kieta,-6.2167,155.6333,87.26,60,0,8.41,PG,1/30/2021
64,Bubaque,11.2833,-15.8333,79,57,100,16.35,GW,1/30/2021
65,Guarapuava,-25.3953,-51.4581,55,88,0,2.39,BR,1/30/2021
66,Ponta Porã,-22.5361,-55.7256,63.05,89,0,2.24,BR,1/30/2021
67,Cayenne,4.9333,-52.3333,78.8,89,75,9.22,GF,1/30/2021
68,Abu Kamal,34.4506,40.9171,52.9,83,17,13.47,SY,1/30/2021
69,Cape Town,-33.9258,18.4232,69.01,88,0,17.27,ZA,1/30/2021
70,Charters Towers,-20.1,146.2667,85.24,60,92,11.48,AU,1/30/2021
71,Morondava,-20.2833,44.2833,81.14,82,90,6.22,MG,1/30/2021
72,Tigil',57.8,158.6667,1.54,89,100,2.48,RU,1/30/2021
73,Vanimo,-2.6741,141.3028,81.21,74,84,5.12,PG,1/30/2021
74,New Norfolk,-42.7826,147.0587,75.99,75,1,1.99,AU,1/30/2021
75,Simbahan,6.3032,120.5836,81.27,79,100,7.65,PH,1/30/2021
76,Carnarvon,-24.8667,113.6333,80.6,100,90,20.71,AU,1/30/2021
77,Esim,4.8699,-2.2405,79.66,87,100,6.85,GH,1/30/2021
78,Tiksi,71.6872,128.8694,-22.76,87,100,6.62,RU,1/30/2021
79,Port-Gentil,-0.7193,8.7815,81.91,83,79,9.82,GA,1/30/2021
80,Vaini,-21.2,-175.2,84.2,89,75,4.61,TO,1/30/2021
81,Maun,-19.9833,23.4167,69.8,100,40,4.61,BW,1/30/2021
82,Saint Paul Harbor,57.79,-152.4072,39.2,65,40,12.66,US,1/30/2021
83,Kruisfontein,-34.0033,24.7314,71.01,86,81,3,ZA,1/30/2021
84,Kampot,10.6167,104.1833,75.2,94,20,1.14,KH,1/30/2021
85,Mossamedes,-15.1961,12.1522,70.65,80,86,6.55,AO,1/30/2021
86,Rawson,-43.3002,-65.1023,63.52,64,0,25.34,AR,1/30/2021
87,Port Elizabeth,-33.918,25.5701,71.6,88,90,6.91,ZA,1/30/2021
88,Rāmhormoz,31.28,49.6035,64.47,37,93,5.03,IR,1/30/2021
89,Ngunguru,-35.6167,174.5,67.75,69,100,12.57,NZ,1/30/2021
90,Lompoc,34.6391,-120.4579,61,51,1,11.5,US,1/30/2021
91,Río Gallegos,-51.6226,-69.2181,57.2,33,20,19.57,AR,1/30/2021
92,Ixtapa,20.7,-105.2,73.4,78,1,3.44,MX,1/30/2021
93,Bluff,-46.6,168.3333,60.35,71,33,2.04,NZ,1/30/2021
94,Conceição do Araguaia,-8.2578,-49.2647,76.01,91,100,3.47,BR,1/30/2021
95,Burns Lake,54.2331,-125.7533,28.4,80,100,2.77,CA,1/30/2021
96,Omboué,-1.5746,9.2618,78.87,89,100,3.76,GA,1/30/2021
97,Dikson,73.5069,80.5464,-30.66,84,6,11.27,RU,1/30/2021
98,Kudat,6.8837,116.8477,78.8,94,40,1.14,MY,1/30/2021
99,Beloha,-25.1667,45.05,75.36,89,100,3.85,MG,1/30/2021
100,Anloga,5.7947,0.8973,84.2,84,40,10.36,GH,1/30/2021
101,Laas,46.6166,10.7002,41,93,20,4.61,IT,1/30/2021
102,Rome,43.2128,-75.4557,30.99,86,90,10.36,US,1/30/2021
103,Kawalu,-7.3817,108.2082,78.26,78,3,3.76,ID,1/30/2021
104,Saint George,37.1041,-113.5841,55.4,24,1,16.11,US,1/30/2021
105,Panjāb,34.388,67.0233,13.46,50,2,3.56,AF,1/30/2021
106,Talnakh,69.4865,88.3972,-27.56,83,51,4.56,RU,1/30/2021
107,Upata,8.0086,-62.3989,71.91,82,18,6.38,VE,1/30/2021
108,Konya Province,38.1667,32.5,32,86,0,4.61,TR,1/30/2021
109,Rio Verde de Mato Grosso,-18.9181,-54.8442,73.22,75,47,4.52,BR,1/30/2021
110,Kimbe,-5.5502,150.1429,83.88,75,22,4.99,PG,1/30/2021
111,Acajutla,13.5928,-89.8275,82.4,47,0,2.3,SV,1/30/2021
112,Port Augusta,-32.5,137.7667,71.6,56,90,16.11,AU,1/30/2021
113,Hermanus,-34.4187,19.2345,66.99,88,4,1.99,ZA,1/30/2021
114,Brae,60.3964,-1.353,33.8,64,90,23.02,GB,1/30/2021
115,Qaanaaq,77.484,-69.3632,-2.78,79,100,7.27,GL,1/30/2021
116,Baykit,61.67,96.37,-6.77,87,90,1.92,RU,1/30/2021
117,Antigonish,45.6169,-61.9986,33.01,92,83,5.5,CA,1/30/2021
118,Pemangkat,1.1667,108.9667,78.01,87,100,9.42,ID,1/30/2021
119,Lao Cai,22.4833,103.95,66.45,75,85,1.03,VN,1/30/2021
120,Gadsden,34.0143,-86.0066,41,70,1,0.87,US,1/30/2021
121,Geraardsbergen,50.7804,3.907,43,95,100,3.56,BE,1/30/2021
